Time	Fluo2	mtRCamp
2.28	34.63973	7.6535
2.29	36.83426	6.88468
2.3	39.54832	6.77147
2.31	36.38395	6.61929
2.32	31.84396	6.458
2.33	32.71068	6.52269
2.34	34.34274	6.61936
2.35	33.46442	10.36697
2.36	32.45385	14.30531
2.37	34.6344	13.38459
2.38	36.34863	12.26015
2.39	32.13226	8.54472
2.4	28.82006	5.68862
2.41	31.13037	8.17626
2.42	32.20706	9.92517
2.43	28.47509	8.79457
2.44	26.74377	8.50069
2.45	30.42715	10.47136
2.46	33.31944	11.27708
2.47	34.64442	9.77478
2.48	35.40545	9.01101
2.49	35.32428	9.35014
2.5	33.80324	13.20285
2.51	30.63682	21.07054
2.52	29.42267	22.00655
2.53	29.92361	16.85293
2.54	32.03788	14.01807
2.55	35.23686	12.7422
2.56	35.6804	12.81661
2.57	34.72712	13.57551
2.58	32.15995	13.26264
2.59	28.99354	12.55181
2.6	29.62812	9.23453
2.61	31.24364	5.2446
2.62	28.6887	6.48118
2.63	25.45767	8.56507
2.64	31.36843	7.79113
2.65	38.00833	6.78925
2.66	37.18165	8.4955
2.67	36.20118	10.06473
2.68	33.71303	9.01478
2.69	31.855	8.11982
2.7	34.48842	8.32971
2.71	36.48484	8.45426
2.72	35.74196	8.2118
2.73	34.29233	8.31457
2.74	30.77025	9.42966
2.75	28.01328	10.16203
2.76	26.88268	10.08087
2.77	26.21292	10.65389
2.78	26.27754	12.2694
2.79	28.41952	12.27406
2.8	33.08823	10.31942
2.81	32.9559	10.15144
2.82	28.33527	11.65374
2.83	26.39667	11.16145
2.84	26.38064	9.23938
2.85	28.02945	8.7513
2.86	30.58223	9.04183
2.87	29.32976	10.95844
2.88	26.55107	13.52724
2.89	26.85703	14.84945
2.9	28.03622	15.81876
2.91	28.58769	17.08817
2.92	29.02401	18.41264
2.93	27.75333	17.14836
2.94	26.31513	15.63003
2.95	27.35348	12.61327
2.96	28.43648	9.68189
2.97	29.16385	9.53611
2.98	30.18474	9.49811
2.99	33.64168	10.35473
3	35.88732	10.67967
3.01	32.34921	8.46603
3.02	30.1961	6.80804
3.03	32.45782	6.92125
3.04	32.80154	8.12134
3.05	28.76301	11.80472
3.06	28.07223	13.20422
3.07	33.08008	10.71606
3.08	34.98409	10.35397
3.09	32.86815	12.74545
3.1	31.82907	12.26945
3.11	31.86112	8.94123
3.12	29.94229	8.31512
3.13	26.53342	9.7528
3.14	26.56885	12.06954
3.15	28.60466	14.89682
3.16	26.09451	14.93783
3.17	21.61966	13.77466
3.18	23.7095	13.66033
3.19	27.82868	13.87021
3.2	28.85262	12.72674
3.21	29.24034	11.30508
3.22	25.15972	6.60113
3.23	20.55563	1.51264
3.24	25.51269	7.11773
3.25	30.70365	12.94157
3.26	30.12206	10.72845
3.27	29.99989	8.91973
3.28	34.41012	11.10081
3.29	37.38637	12.25023
3.3	32.70164	7.88808
3.31	29.8025	4.86802
3.32	33.11418	6.5161
3.33	33.84925	7.80003
3.34	28.24328	8.18775
3.35	27.54055	9.23407
3.36	35.76339	11.47925
3.37	37.93794	11.53193
3.38	31.76693	8.55939
3.39	30.00677	7.41578
3.4	32.9147	8.20777
3.41	35.99197	9.70336
3.42	39.20697	11.77122
3.43	34.40631	11.74535
3.44	24.63205	10.42037
3.45	24.99449	10.43025
3.46	30.06747	11.06043
3.47	30.96911	9.51441
3.48	30.46817	7.23666
3.49	33.16286	10.21861
3.5	36.58776	14.40241
3.51	33.17746	11.11211
3.52	28.83185	6.79907
3.53	27.18907	10.38049
3.54	25.74717	14.36849
3.55	28.332	13.77087
3.56	30.79196	13.29936
3.57	31.74524	14.34931
3.58	31.81651	15.39471
3.59	26.5657	16.41262
3.6	22.21801	15.79561
3.61	21.31332	8.94583
3.62	20.86365	5.19257
3.63	21.62307	9.66742
3.64	23.43421	12.07723
3.65	27.29542	10.46172
3.66	29.70509	9.3366
3.67	29.9796	8.93285
3.68	27.96708	10.4361
3.69	23.37902	14.0869
3.7	23.74368	14.80264
3.71	28.39637	12.97724
3.72	29.87088	12.13337
3.73	29.2407	11.93951
3.74	28.49221	10.0427
3.75	27.68471	7.29658
3.76	28.53437	7.37984
3.77	29.98808	8.49441
3.78	29.01702	9.0158
3.79	27.43407	9.3875
3.8	25.64161	7.74848
3.81	23.8162	5.79332
3.82	22.17057	5.17534
3.83	20.53851	4.65838
3.84	25.41958	7.35758
3.85	30.06552	9.92771
3.86	30.63108	10.28338
3.87	31.08204	10.55104
3.88	30.74291	10.21191
3.89	29.25736	9.53409
3.9	22.95659	7.43366
3.91	20.36034	6.51251
3.92	28.4219	8.98412
3.93	33.53527	11.37745
3.94	32.48531	13.60712
3.95	30.90076	14.84949
3.96	28.47723	14.54241
3.97	27.57501	12.56753
3.98	28.49624	8.59362
3.99	29.70295	9.33639
4	31.17268	14.42488
4.01	30.6069	13.95556
4.02	28.60366	9.56135
4.03	28.41139	6.94678
4.04	29.18683	5.28319
4.05	29.34815	6.79447
4.06	29.2675	9.55661
4.07	27.44102	11.86378
4.08	25.1307	14.04486
4.09	31.74558	15.00587
4.1	39.9524	15.74927
4.11	38.07111	13.47908
4.12	35.24383	10.92631
4.13	30.08985	8.59542
4.14	25.39718	6.45371
4.15	31.37485	8.18245
4.16	36.36652	9.8375
4.17	33.47461	10.90348
4.18	30.98834	10.97559
4.19	30.39073	6.42009
4.2	30.72908	3.22354
4.21	33.99216	4.2735
4.22	35.44383	6.45324
4.23	32.82695	11.17055
4.24	31.31473	13.73263
4.25	31.65386	12.68268
4.26	30.22577	11.05061
4.27	26.54239	8.67567
4.28	24.91479	7.75296
4.29	25.30251	8.2539
4.3	26.30763	9.62119
4.31	27.77736	11.64046
4.32	28.20938	11.82013
4.33	28.04809	10.94801
4.34	26.19705	11.06209
4.35	23.62825	11.59508
4.36	24.51889	9.84664
4.37	26.45751	7.40708
4.38	24.74895	6.35395
4.39	22.30991	5.5785
4.4	23.23898	6.40045
4.41	24.54742	7.40233
4.42	28.89409	6.93944
4.43	33.11808	6.48748
4.44	29.75781	8.13505
4.45	26.72672	9.49053
4.46	26.80736	8.0849
4.47	26.59099	8.08125
4.48	24.8302	15.36735
4.49	23.99692	19.31357
4.5	26.32327	11.8822
4.51	27.92166	6.88968
4.52	27.75985	7.79437
4.53	26.80548	7.99317
4.54	24.43106	6.92718
4.55	25.45258	8.57922
4.56	31.0906	13.92619
4.57	30.1656	15.31971
4.58	22.3951	12.58962
4.59	22.36353	9.68017
4.6	28.53454	6.62698
4.61	29.84203	7.21372
4.62	28.17792	10.02446
4.63	28.47672	10.01893
4.64	29.67246	8.72652
4.65	26.56737	9.71806
